t,p,v,a
0,0.0,0.0,0.0
0.001,6.342592592592595e-08,5.708333333333334e-05,0.015222222222222224
0.002,5.074074074074076e-07,0.00022833333333333337,0.030444444444444448
0.003,1.7125000000000003e-06,0.0005137500000000001,0.04566666666666667
0.004,4.059259259259261e-06,0.0009133333333333335,0.060888888888888895
0.005,7.928240740740742e-06,0.0014270833333333336,0.07611111111111112
0.006,1.3700000000000003e-05,0.0020550000000000004,0.09133333333333334
0.007,2.1755092592592594e-05,0.0027970833333333333,0.10655555555555556
0.008,3.2474074074074085e-05,0.003653333333333334,0.12177777777777779
0.009000000000000001,4.623750000000001e-05,0.004623750000000001,0.137
0.010000000000000002,6.342592592592596e-05,0.005708333333333335,0.15222222222222223
0.011000000000000003,8.441990740740749e-05,0.006907083333333338,0.1674444444444445
0.012000000000000004,0.0001096000000000001,0.008220000000000005,0.18266666666666673
0.013000000000000005,0.00013934675925925943,0.00964708333333334,0.19788888888888898
0.014000000000000005,0.00017404074074074097,0.011188333333333344,0.2131111111111112
0.015000000000000006,0.00021406250000000028,0.012843750000000011,0.22833333333333344
0.016000000000000007,0.00025979259259259295,0.014613333333333346,0.24355555555555566
0.017000000000000008,0.0003116115740740745,0.01649708333333335,0.2587777777777779
0.01800000000000001,0.0003699000000000006,0.01849500000000002,0.27400000000000013
0.01900000000000001,0.00043503842592592664,0.020607083333333356,0.2892222222222224
0.02000000000000001,0.0005074074074074083,0.022833333333333358,0.30444444444444463
0.02100000000000001,0.000587387500000001,0.025173750000000026,0.3196666666666668
0.022000000000000013,0.0006753592592592604,0.027628333333333366,0.33488888888888907
0.023000000000000013,0.000771703240740742,0.030197083333333367,0.3501111111111113
0.024000000000000014,0.0008768000000000016,0.03288000000000004,0.36533333333333357
0.025000000000000015,0.0009910300925925948,0.03567708333333338,0.3805555555555558
0.026000000000000016,0.001114774074074076,0.038588333333333384,0.39577777777777806
0.027000000000000017,0.0012484125000000025,0.041613750000000053,0.4110000000000003
0.028000000000000018,0.0013923259259259286,0.044753333333333395,0.42622222222222256
0.02900000000000002,0.0015468949074074105,0.0480070833333334,0.44144444444444475
0.03000000000000002,0.0017125000000000033,0.05137500000000007,0.456666666666667
0.03100000000000002,0.0018895217592592632,0.05485708333333341,0.47188888888888925
0.03200000000000002,0.002078340740740746,0.05845333333333341,0.48711111111111144
0.03300000000000002,0.0022793375000000047,0.06216375000000009,0.5023333333333337
0.03400000000000002,0.002492892592592598,0.06598833333333343,0.5175555555555559
0.035000000000000024,0.00271938657407408,0.06992708333333343,0.5327777777777781
0.036000000000000025,0.0029592000000000064,0.0739800000000001,0.5480000000000004
0.037000000000000026,0.003212713425925933,0.07814708333333345,0.5632222222222226
0.03800000000000003,0.0034803074074074153,0.08242833333333345,0.5784444444444449
0.03900000000000003,0.003762362500000008,0.08682375000000013,0.5936666666666671
0.04000000000000003,0.004059259259259268,0.09133333333333346,0.6088888888888894
0.04100000000000003,0.004371378240740751,0.09595708333333347,0.6241111111111116
0.04200000000000003,0.00469910000000001,0.10069500000000015,0.6393333333333338
0.04300000000000003,0.005042805092592603,0.10554708333333349,0.654555555555556
0.04400000000000003,0.005402874074074086,0.11051333333333349,0.6697777777777782
0.04500000000000003,0.005779687500000013,0.11559375000000018,0.6850000000000005
0.046000000000000034,0.0061736259259259395,0.12078833333333351,0.7002222222222227
0.047000000000000035,0.006585069907407422,0.12609708333333353,0.715444444444445
0.048000000000000036,0.007014400000000015,0.1315200000000002,0.7306666666666672
0.04900000000000004,0.0074619967592592755,0.13705708333333352,0.7458888888888894
0.05000000000000004,0.007928240740740758,0.14270833333333355,0.7611111111111116
0.05100000000000004,0.008413512500000019,0.1484737500000002,0.7763333333333339
0.05200000000000004,0.008918192592592612,0.15435333333333356,0.7915555555555561
0.05300000000000004,0.009442661574074095,0.16034708333333358,0.8067777777777784
0.05400000000000004,0.009987300000000025,0.16645500000000027,0.8220000000000007
0.05500000000000004,0.010552488425925951,0.17267708333333362,0.837222222222223
0.05600000000000004,0.011138607407407434,0.17901333333333364,0.8524444444444452
0.057000000000000044,0.011746037500000028,0.18546375000000032,0.8676666666666674
0.058000000000000045,0.01237515925925929,0.19202833333333363,0.8828888888888896
0.059000000000000045,0.013026353240740772,0.19870708333333365,0.8981111111111119
0.060000000000000046,0.013700000000000035,0.20550000000000032,0.9133333333333341
0.06100000000000005,0.014396480092592626,0.2124070833333337,0.9285555555555564
0.06200000000000005,0.015116174074074113,0.2194283333333337,0.9437777777777786
0.06300000000000004,0.015859462500000036,0.2265637500000003,0.9590000000000007
0.06400000000000004,0.016626725925925966,0.23381333333333365,0.9742222222222229
0.06500000000000004,0.01741834490740744,0.24117708333333368,0.9894444444444451
0.06600000000000004,0.018234698172518556,0.2486496350364967,1.0000000000000002
0.06700000000000005,0.01907603028930688,0.2561496350364967,1.0000000000000002
0.06800000000000005,0.0199423624060952,0.2636496350364967,1.0000000000000002
0.06900000000000005,0.020833694522883524,0.2711496350364967,1.0000000000000002
0.07000000000000005,0.02175002663967185,0.27864963503649676,1.0000000000000002
0.07100000000000005,0.022691358756460174,0.2861496350364967,1.0000000000000002
0.07200000000000005,0.023657690873248496,0.29364963503649677,1.0000000000000002
0.07300000000000005,0.02464902299003682,0.3011496350364967,1.0000000000000002
0.07400000000000005,0.025665355106825143,0.3086496350364968,1.0000000000000002
0.07500000000000005,0.026706687223613468,0.31614963503649673,1.0000000000000002
0.07600000000000005,0.027773019340401793,0.3236496350364968,1.0000000000000002
